Name	Value	Description
Barren	1	At least of area 60% is non-vegetated barren (sand, rock, soil) or permanent snow/ice with less than 10% vegetation.
Permanent Snow and Ice	2	At least of area 60% is covered by snow and ice for at least 10 months of the year.
Water Bodies	3	At least 60% of area is covered by permanent water bodies.
Evergreen Needleleaf Forests	11	Dominated by evergreen conifer trees (>2m). Tree cover >60%.
Evergreen Broadleaf Forests	12	Dominated by evergreen broadleaf and palmate trees (>2m). Tree cover >60%.
Deciduous Needleleaf Forests	13	Dominated by deciduous needleleaf (larch) trees (>2m). Tree cover >60%.
Deciduous Broadleaf Forests	14	Dominated by deciduous broadleaf trees (>2m). Tree cover >60%.
Mixed Broadleaf/Needleleaf Forests	15	Co-dominated (40-60%) by broadleaf deciduous and evergreen needleleaf tree (>2m) types. Tree cover >60%.
Mixed Broadleaf Evergreen/Deciduous Forests	16	Co-dominated (40-60%) by broadleaf evergreen and deciduous tree (>2m) types. Tree cover >60%.
Open Forests	21	Tree cover 30-60% (canopy >2m).
Sparse Forests	22	Tree cover 10-30% (canopy >2m).
Dense Herbaceous	31	Dominated by herbaceous annuals (<2m) at least 60% cover.
Sparse Herbaceous	32	Dominated by herbaceous annuals (<2m) 10-60% cover.
Dense Shrublands	41	Dominated by woody perennials (1-2m) >60% cover.
Shrubland/Grassland Mosaics	42	Dominated by woody perennials (1-2m) 10-60% cover with dense herbaceous annual understory.
Sparse Shrublands	43	Dominated by woody perennials (1-2m) 10-60% cover with minimal herbaceous understory.
Unclassified	255	Has not received a map label because of missing inputs.
