Name	Value	Description
Water Bodies	0	At least 60% of area is covered by permanent water bodies.
Evergreen Needleleaf Vegetation	1	Dominated by evergreen conifer trees and shrubs (>1m). Woody vegetation cover >10%.
Evergreen Broadleaf Vegetation	2	Dominated by evergreen broadleaf and palmate trees and shrubs (>1m). Woody vegetation cover >10%.
Deciduous Needleleaf Vegetation	3	Dominated by deciduous needleleaf (larch) trees and shrubs (>1m). Woody vegetation cover >10%.
Deciduous Broadleaf Vegetation	4	Dominated by deciduous broadleaf trees and shrubs (>1m). Woody vegetation cover >10%.
Annual Broadleaf Vegetation	5	Dominated by herbaceous annuals (<2m). At least 60% cultivated broadleaf crops.
Annual Grass Vegetation	6	Dominated by herbaceous annuals (<2m) including cereal croplands.
Non-Vegetated Lands	7	At least 60% of area is non-vegetated barren (sand, rock, soil) or permanent snow/ice with less than 10% vegetation.
Urban and Built-up Lands	8	At least 30% impervious surface area including building materials, asphalt, and vehicles.
Unclassified	255	Has not received a map label because of missing inputs.
