Name	Value	Description
Barren	1	At least 60% of area is non-vegetated barren (sand, rock, soil) or permanent snow/ice with less than 10% vegetation.
Permanent Snow and Ice	2	At least 60% of area is covered by snow and ice for at least 10 months of the year.
Water Bodies	3	At least 60% of area is covered by permanent water bodies.
Urban and Built-up Lands	9	At least 30% of area is made up of impervious surfaces including building materials, asphalt, and vehicles.
Dense Forests	10	Tree cover >60% (canopy >2m).
Open Forests	20	Tree cover 10-60% (canopy >2m).
Forest/Cropland Mosaics	25	Mosaics of small-scale cultivation 40-60% with >10% natural tree cover.
Natural Herbaceous	30	Dominated by herbaceous annuals (<2m). At least 10% cover.
Natural Herbaceous/Croplands Mosaics	35	Mosaics of small-scale cultivation 40-60% with natural shrub or herbaceous vegetation.
Herbaceous Croplands	36	Dominated by herbaceous annuals (<2m). At least 60% cover. Cultivated fraction >60%.
Shrublands	40	Shrub cover >60% (1-2m).
Unclassified	255	Has not received a map label because of missing inputs.
